GISJOIN,AREANAME,PopTotal,White,NonWhite,WhiteNative,Black,MedHouseValue,MedGrossRent
G17003100213,STCTY-17031 TRACT-    0213     IN CHICAGO IL,"6841","6840","1","5149","1","3581",41.05
G17003100214,STCTY-17031 TRACT-    0214     IN CHICAGO IL,"5956","5947","9","4776","0","5254",44.79
G17003100215,STCTY-17031 TRACT-    0215     IN CHICAGO IL,"1754","1754","0","1434","0","5549",45.65
G17003100216,STCTY-17031 TRACT-    0216     IN CHICAGO IL,"730","730","0","567","0","3419",0
G17003100217,STCTY-17031 TRACT-    0217     IN CHICAGO IL,"7715","7714","1","5539","0","3163",30.65
G17003100218,STCTY-17031 TRACT-    0218     IN CHICAGO IL,"3590","3590","0","2732","0","3107",28.7
G17003100219,STCTY-17031 TRACT-    0219     IN CHICAGO IL,"6913","6910","3","5326","1","3714",39.55
G17003100220,STCTY-17031 TRACT-    0220     IN CHICAGO IL,"2284","2284","0","1818","0","4078",37.64
G17003100221,STCTY-17031 TRACT-    0221     IN CHICAGO IL,"3661","3661","0","2979","0","6265",45.34
G17003100222,STCTY-17031 TRACT-    0222     IN CHICAGO IL,"4621","4617","4","3661","0","4396",44.18
G17003100223,STCTY-17031 TRACT-    0223     IN CHICAGO IL,"1948","1947","1","1522","0","3421",39.74
G17003100224,STCTY-17031 TRACT-    0224     IN CHICAGO IL,"7500","7500","0","5812","0","3173",36.46
G17003100225,STCTY-17031 TRACT-    0225     IN CHICAGO IL,"4343","4341","2","3436","0","2476",33.79
G17003100226,STCTY-17031 TRACT-    0226     IN CHICAGO IL,"821","821","0","643","0","0",36.59
G17003100227,STCTY-17031 TRACT-    0227     IN CHICAGO IL,"4352","4352","0","3587","0","2561",33.42
G17003100228,STCTY-17031 TRACT-    0228     IN CHICAGO IL,"7659","7659","0","6143","0","3360",40.84
G17003100229,STCTY-17031 TRACT-    0229     IN CHICAGO IL,"1827","1827","0","1452","0","2558",31.53
G17003100230,STCTY-17031 TRACT-    0230     IN CHICAGO IL,"2833","2827","6","2250","6","4632",45.27
G17003100231,STCTY-17031 TRACT-    0231     IN CHICAGO IL,"9628","9627","1","7595","0","2566",33.5
G17003100232,STCTY-17031 TRACT-    0232     IN CHICAGO IL,"9128","9112","16","7237","4","2347",33.3
G17003100233,STCTY-17031 TRACT-    0233     IN CHICAGO IL,"6243","6242","1","4978","1","2784",36.31
G17003100234,STCTY-17031 TRACT-    0234     IN CHICAGO IL,"1877","1875","2","1511","1","3859",34.87
G17003100235,STCTY-17031 TRACT-    0235     IN CHICAGO IL,"4137","4135","2","3225","0","3112",31.75
G17003100236,STCTY-17031 TRACT-    0236     IN CHICAGO IL,"131","131","0","101","0","0",0
G17003100237,STCTY-17031 TRACT-    0237     IN CHICAGO IL,"8839","8831","8","6685","1","2799",37.45
G17003100238,STCTY-17031 TRACT-    0238     IN CHICAGO IL,"10172","10160","12","7977","1","3427",39.54
G17003100239,STCTY-17031 TRACT-    0239     IN CHICAGO IL,"4067","4064","3","3158","1","3612",43.64
G17003100240,STCTY-17031 TRACT-    0240     IN CHICAGO IL,"4145","4142","3","3156","2","3516",41.8
G17003100241,STCTY-17031 TRACT-    0241     IN CHICAGO IL,"3897","3896","1","3122","1","3207",38.2
G17003100242,STCTY-17031 TRACT-    0242     IN CHICAGO IL,"3148","3148","0","2491","0","2364",29.71
G17003100243,STCTY-17031 TRACT-    0243     IN CHICAGO IL,"1536","1536","0","1221","0","2407",27.46
